artist,unique_songs,total_days
Eslabon Armado,1,170
Grupo Frontera,1,21
Grupo Frontera & Bad Bunny,1,79
Eminem & Big Sean & Babytron,1,8
Hanumankind & Kalmi,1,59
Harry Styles,1,92
Hotel Ugly,1,45
Ella Langley & Riley Green,1,18
Ice Spice & Central Cee,1,17
Ice Spice & Nicki Minaj,1,2
Illit,1,12
Eartha Kitt,1,23
J Hus & Drake,1,1
Drake & 21 Savage,1,18
Don Mclean,1,3
Central Cee & Lil Baby,1,34
Mitski,1,224
Mariah Carey,1,75
Mark Ambor,1,3
Marvin Gaye & Tammi Terrell,1,1
Megan Thee Stallion & Rm,1,6
Creedence Clearwater Revival,1,4
Mgk & Jelly Roll,1,2
Conan Gray,1,2
Chuck Berry,1,20
Michael Marcagi,1,127
Miguel,1,16
Moneybagg Yo,1,3
Karol G & Feid & Dfzm,1,1
Chino Pacas,1,32
Mustard & Travis Scott,1,7
Myke Towers,1,49
Myke Towers & Bad Bunny,1,3
Myles Smith,1,76
Childish Gambino,1,7
Natanael Cano & Peso Pluma & Gabito Ballesteros,1,34
Charli Xcx & Troye Sivan,1,1
Charli Xcx & Lorde,1,2
Floyymenor & Cris Mj,1,113
Lyrical Lemonade & Juice Wrld & Cordae,1,7
Lynyrd Skynyrd,1,3
Darius Rucker,1,2
Luis R Conriquez & Neton Vega,1,1
Katy Perry,1,3
Dominic Fike,1,2
Ken Carson,1,2
Djo,1,148
Kendrick Lamar & Sza,1,1
Kenny Chesney,1,3
Kenya Grace,1,83
Kid Rock,1,2
*Nsync,1,16
Koe Wetzel & Jessie Murph,1,26
Ksi & Trippie Redd,1,2
Dj Agus Lima,1,2
Lady Gaga & Bruno Mars,1,103
Lana Del Rey,1,15
Lay Bankz,1,33
Leftovermax,1,1
Lil Durk & J. Cole,1,10
Lil Mabu,1,14
Daryl Hall & John Oates,1,2
Lil Uzi Vert & Sped Up Nightcore & Arizonatears,1,3
Darlene Love,1,31
$Uicideboy$,1,5
