song,duration_min
"Your Needs, My Needs",3.46
Yours,3.32
You’re Gonna Go Far,4.77
You’re Losing Me (From The Vault),4.63
Zoom (Bonus Track),2.77
act ii: date @ 8,1.890754716981132
act ii: date @ 8 (feat. Drake) - remix,3.86
all of me,3.3
all-american bitch,2.76
august,4.37
back at it,3.1
back to the moon,3.22
bad idea right?,3.08
ballad of a homeschooled girl,3.39
bye,2.75
cardigan,3.99
dangerous,4.42
"dodger blue (feat. wallie the sensei, roddy ricch, siete7x)",2.19
"dodger blue (feat. wallie the sensei, siete7x, roddy ricch)",2.19
"dodger blue (feat. wallie the sensei, siete7x, roddy ricch))",2.19
don't wanna break up again,2.9
eternal sunshine,3.5
euphoria,6.39
exes,2.66
fukumean,2.08
get him back!,3.52
girl i’ve always been,2.02
gloria (feat. sza),4.79
gloria (with sza),4.79
"gnx (feat. hitta j3, youngthreat, peysoh)",3.23
golden hour,3.4900000000000007
greedy,2.2
heart pt. 6,4.87
hey now (feat. dody6),3.62
i like the way you kiss me,2.38
i wish i hated you,2.56
if u think i'm pretty,2.14
imgonnagetyouback,3.7
imperfect for you,3.04
intro (end of the world),1.54
just like me,3.86
lacy,2.95
letter to my brudda,2.65
logical,3.87
loml,4.62
love hotel,2.54
love is embarrassing,2.5800000000000005
luther (with sza),2.96
making the bed,3.31
man at the garden,3.89
meet the grahams,6.54
misses,1.24
n.h.i.e.,2.4
née-nah,3.68
obsessed,2.84
on one tonight,1.51
one of wun,2.4
ordinary things (feat. Nonna),2.81
peekaboo (feat. azchike),2.6
pop ur shit,3.22
pretty isn’t pretty,3.32
prove it,3.4599999999999995
red sky,2.9500000000000006
redrum,4.51
reincarnated,4.6
run for the hills,2.4
scared of my guitar,4.4
see the real,3.03
should've wore a bonnet,3.11
sneaky,3.36
so american,2.83
squabble up,2.63
stranger,3.21
supernatural,2.72
teenage dream,3.71
thanK you aIMee,4.4
the boy is mine,2.89
the grudge,3.1600000000000006
true story,2.72
tv off (feat. lefty gunplay),3.68
un x100to,3.24
us. (feat. Taylor Swift),4.04
vampire,3.66
wacced out murals,5.28
we can't be friends (wait for your love),3.8099999999999996
we fell in love in october,3.07
x2,3.91
"yes, and?",3.58
you look like you love me (feat. Riley Green),3.74
