song,duration_min
Die For You,4.34
Die With A Smile,4.19
Died and Came Back,3.01
Diet Pepsi,2.83
Disco,2.55
Disease,3.83
Disturbia,3.98
Do They Know It's Christmas? - 1984 Version,3.71
Do You Hear What I Hear? - Remastered 2006,2.76
Doctor (Work It Out) [feat. Miley Cyrus],3.04
Don't Understand,3.06
Don’t Blame Me,3.94
Don’t Smile,3.44
Doomsday (with Juice WRLD & Cordae),2.52
Down Bad,4.35
Dreams - 2004 Remaster,4.3
Drew A Picasso,4.38
Drugs You Should Try It,3.47
Dumb & Poetic,2.22
ETA,2.52
East Side of Sorrow,3.49
El Azul,3.12
El Dorado,3.05
El Gordo Trae El Mando,1.87
Electric Touch (feat. Fall Out Boy) (Taylor’s Version) (From The Vault),4.44
Ella Baila Sola,2.76
Empire Now,2.97
Enchanted,5.87
Enchanted (Taylor's Version),5.89
End of Beginning,2.65
Endless Fashion (feat. Nicki Minaj),3.61
Enough (Miami),2.65
Enough Is Enough,2.75
Espresso,2.92
Evergreen,1.45
Everybody (feat. Lil Uzi Vert),3.01
Everyday Hustle,3.78
Evil,3.84
Evil Ways (feat. J. Cole),3.79
FE!N,3.2000000000000006
FE!N (feat. Playboi Carti),3.2
FIELD TRIP,2.79
FINA,3.61
FLAMENCO,1.67
FRIED,2.99
FTCU,2.8700000000000006
FUK SUMN,3.49
Fallin 4 U,3.84
Family Matters,7.62
Fare Well,3.14
Fast Car,4.42
Father Stretch My Hands Pt. 1,2.27
Favorite Song,3.48
Favorite Song (feat. Future) [Toxic Version],3.48
Fear Of Heights,2.59
Fear and Friday's,2.86
Fear and Friday's (Poem),1.79
Feather,3.09
Feel It - From The Original Series “Invincible”,2.63
Feliz Navidad,3.03
Femininomenon,3.66
Fever,2.38
Finer Things (Feat. Hank Williams Jr.),3.09
Fire Alarm,3.09
Firework,3.7999999999999994
First Person Shooter (feat. J. Cole),4.12
Five Nights at Freddy's,2.76
Flooded The Face,3.21
Florida!!! (feat. Florence + The Machine),3.59
Flowers,3.34
Foolish One (Taylor’s Version) (From The Vault),5.2
Forever,4.47
Fortnight (feat. Post Malone),3.82
Fortunate Son,2.35
Fresh Out The Slammer,3.51
Fried (She a Vibe),3.5
From The Start,2.83
Fuel,3.56
GIRLS,2.55
GOD'S COUNTRY,2.13
GOOD (DON'T DIE),3.32
GRACIAS POR NADA,2.9599999999999995
GTA,3.88
Gata Only,3.7
Gata Only (Mashup),3.59
Gently (feat. Bad Bunny),2.23
Get It Sexyy,2.48
Ghostbusters,4.01
Goes Without Saying (Feat. Brad Paisley),3.54
Good Graces,3.09
"Good Luck, Babe!",3.64
Gucci Grocery Bag,2.92
Guess featuring Billie Eilish,2.39
Guess featuring billie eilish,2.39
Guilty Conscience 2,5.43
Guilty as Sin?,4.24
Guy For That (Feat. Luke Combs),2.73
H.Y.B. (feat. Bas & Central Cee),3.91
HARLEY QUINN,2.39
HIBIKI,3.47
HISS,3.21
HOODRAT,3.72
HOT TO GO!,3.08
HUMBLE.,2.95
HVN ON EARTH (with Kodak Black),3.15
HYAENA,3.7000000000000006
Habits,4.97
Happy Holiday / The Holiday Season,2.62
Happy Xmas (War Is Over) - Remastered 2010,3.57
Haunted (Taylor's Version),4.09
Have The Heart (Feat. Dolly Parton),3.06
Have Yourself A Merry Little Christmas - Remastered 1999,3.44
Head Honcho,3.91
Heading South,2.86
Heartless,3.52
Heather,3.3
Heavy Is the Crown,2.78
Hellcat Kenny (feat. Lil Uzi Vert),2.57
Here Comes Santa Claus (Right Down Santa Claus Lane),1.93
