song,days_on_chart,avg_popularity,best_rank
Something in the Orange,536,88.37126865671642,9
Last Night,492,85.67682926829268,1
I Remember Everything (feat. Kacey Musgraves),446,90.08520179372198,1
See You Again (feat. Kali Uchis),444,91.08558558558559,4
Stick Season,414,91.09661835748793,1
Cruel Summer,388,97.00773195876289,1
Lose Control,329,90.91793313069908,5
Thinkin’ Bout Me,324,85.99074074074075,21
Beautiful Things,307,90.83061889250814,1
You Proof,302,84.66225165562913,9
